car_trim,powertrain_type
Skoda Octavia A8 2025 A/T / Suite,Internal_Combustion_Engine
Skoda Octavia A8 A/T / Suite 2025,Internal_Combustion_Engine
Skoda Octavia A8 A/T / Lounge 2025,Internal_Combustion_Engine
Skoda Octavia A8 A/T / Loft 2025,Internal_Combustion_Engine
Skoda Karoq 2026 A/T / Suite,Internal_Combustion_Engine
Skoda Karoq 2025 A/T / Luxury,Internal_Combustion_Engine
Skoda Karoq A/T / Luxury 2025,Internal_Combustion_Engine
Skoda Kodiaq 2026 A/T / Loft,Internal_Combustion_Engine
Skoda Kodiaq 2026 A/T / Suite,Internal_Combustion_Engine
Skoda Kodiaq 2026 A/T / Sportline,Internal_Combustion_Engine
Skoda Kodiaq 2025 A/T / Loft,Internal_Combustion_Engine
Skoda Kodiaq 2025 A/T / Lounge,Internal_Combustion_Engine
Skoda Kodiaq 2025 A/T / Suite,Internal_Combustion_Engine
Skoda Kodiaq 2025 A/T / Sportline,Internal_Combustion_Engine
Skoda Kodiaq A/T / Loft 2025,Internal_Combustion_Engine
Skoda Kodiaq A/T / Sportline 2025,Internal_Combustion_Engine
Skoda Kodiaq A/T / Suite 2025,Internal_Combustion_Engine
Skoda Kodiaq A/T / Lounge 2025,Internal_Combustion_Engine
Skoda Superb 2026 A/T / Selection,Internal_Combustion_Engine
Skoda Superb 2026 A/T / L&K,Internal_Combustion_Engine
Jac S2 2025 A/T / Smart,Internal_Combustion_Engine
Jac JS4 2025 A/T / Deluxe,Internal_Combustion_Engine
Jac J7 2025 A/T / Deluxe,Internal_Combustion_Engine
Jac JS6 2026 A/T / LIMITED,Internal_Combustion_Engine
Jac JS6 2026 A/T / Flagship,Internal_Combustion_Engine
Jac JS6 A/T / LIMITED 2026,Internal_Combustion_Engine
Exeed RX 2025 Automtic,Internal_Combustion_Engine
Exeed RX 2025 A/T / Flagship,Internal_Combustion_Engine
Exeed RX A/T / Flagship 2025,Internal_Combustion_Engine
Exeed RX Automtic 2025,Internal_Combustion_Engine
